video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,video_error_or_removed
LhjhGOBIoHM,17.14.11,Jérémy Ferrari - On n'est pas couché 11 novembre 2017 #ONPC,On n'est pas couché,24,2017-11-12T00:53:02.000Z,"onpc""|""on n'est pas couche""|""laurent ruquier""|""yann moix""|""christine angot""|""11 novembre 2017""|""jeremy ferrari""|""humour""|""humour noir""|""spectacle",294065,0,0,0,https://i.ytimg.com/vi/LhjhGOBIoHM/default.jpg,True,False
LxlOw30Xo-U,17.14.11,شاهد انبهار اعلامية لبنانية بمستوى المنتخب المغربي عقب التأهل التاريخي لروسيا 2018,Info Press,17,2017-11-12T13:25:43.000Z,"maroc""|""morocco""|""المغرب""|""المنتخب المغربي""|""التاهل""|""روسيا""|""2018""|""كاس العالم""|""مبارة""|""مصر""|""المغرب و الكوت الديفوار""|""كاس""|""العالم""|""تصفيات""|""اقصائيات""|""محمد السادس""|""ملك المغرب",236911,1911,128,0,https://i.ytimg.com/vi/LxlOw30Xo-U/default.jpg,True,False
xB_Jc8I32A0,17.14.11,Questions & réponses n°134- www.regenere.org,Regenere / Thierry Casasnovas,27,2017-11-13T07:20:17.000Z,"jeûne""|""fasting""|""cru""|""crudivore""|""frugivore""|""végétalien""|""végétarien""|""80/10/10""|""fruits""|""énergie""|""régénérer""|""détoxiner""|""régénération""|""détoxination""|""dépression""|""diabète""|""hypertension""|""vivrecru""|""thierry casasnovas""|""guérir""|""santé""|""raw food""|""low fat raw vegan""|""vegan""|""lifestyle",8546,326,8,0,https://i.ytimg.com/vi/xB_Jc8I32A0/default.jpg,True,False
k_KXgkEZGtI,17.14.11,بالفيديو: تسريب لقطات حذفتها بينسبورت في مباراة المنتخب المغربي ضد الكوت ديفوار,REPLAY,17,2017-11-12T11:42:39.000Z,"المنتخب""|""المغربي""|""برشلونة""|""المغرب""|""الكوت ديفوار""|""ديفوار""|""ضد""|""الشوط""|""القنوات""|""الناقلة""|""مباراة""|""الوطني""|""الإيفواري""|""أهداف""|""تعليق""|""عبد الحق الشراط""|""شاهد""|""اعلامي""|""مصري""|""يبارك""|""التاهل""|""العالم""|""افريقيا""|""تصريحات""|""لاعبي""|""التأهل""|""للمونديال""|""انبهار""|""امام""|""بعد""|""عصام الشوالي""|""تونس""|""ليبيا""|""دقائق""|""جنون""|""التقرير""|""الجزيرة""|""تأهل""|""كأس""|""الهدف""|""الأول""|""روسيا""|""أجواء""|""البيضاء""|""2018""|""11-11-2017""|""0-2""|""تصفيات""|""مغاربة""|""فرحتهم""|""فرحة""|""مونديال""|""الدارالبيضاء""|""هستيرية""|""منديال""|""chouftv""|""نهائيات""|""Le360.ma""|""اتصال""|""لحظة""|""الملك""|""رونار""|""الفرنسي""|""محمد السادس",303817,2299,804,0,https://i.ytimg.com/vi/k_KXgkEZGtI/default.jpg,True,False
xBwL10BMXeI,17.14.11,Kurt Volker et la stratégie américaine en UKraine. 2 février 2017.,Stratpol,25,2017-11-07T17:32:08.000Z,"ukraine""|""volker""|""donbass""|""kurt volker""|""xavier moreau""|""stratpol""|""trump""|""usa",3609,47,4,0,https://i.ytimg.com/vi/xBwL10BMXeI/default.jpg,True,False
curL32rU06w,17.15.11,Juppé/ Macron : l’axe anti-Wauquiez ? #cdanslair 14.11.2017,C dans l'air,24,2017-11-14T18:08:03.000Z,"macron""|""juppé""|""lrem""|""Europe""|""droite""|""centre""|""extrême droite""|""fn",8450,28,19,0,https://i.ytimg.com/vi/curL32rU06w/default.jpg,True,False
LhjhGOBIoHM,17.15.11,Jérémy Ferrari - On n'est pas couché 11 novembre 2017 #ONPC,On n'est pas couché,24,2017-11-12T00:53:02.000Z,"onpc""|""on n'est pas couche""|""laurent ruquier""|""yann moix""|""christine angot""|""11 novembre 2017""|""jeremy ferrari""|""humour""|""humour noir""|""spectacle",331092,0,0,0,https://i.ytimg.com/vi/LhjhGOBIoHM/default.jpg,True,False
FEfWvaEsJao,17.15.11,Meurtre au Val de l'Aurence à Limoges,lepopulaire.fr,25,2017-11-14T16:25:32.000Z,"limoges""|""zup""|""aurence""|""meutre""|""haute-vienne""|""limousin""|""nouvelle-aquitaine""|""france""|""police""|""justice""|""faits divers""|""crime",1960,2,1,0,https://i.ytimg.com/vi/FEfWvaEsJao/default.jpg,True,False
dK4BI6l-ScE,17.15.11,"Marché de Noël : Audience au Tribunal Administratif avec Campion (14 novembre 2017,, Paris)",CLNEWS,25,2017-11-14T15:36:19.000Z,"CLNEWS clement Lanot""|""news""|""actu""|""france",2707,0,0,0,https://i.ytimg.com/vi/dK4BI6l-ScE/default.jpg,True,False
FT-9yLFUsVs,17.15.11,Tirage relationnel flamme jumelle homme et femme pour novembre 2017,maria anges et archanges d amours,22,2017-11-14T15:11:21.000Z,[none],2432,206,6,0,https://i.ytimg.com/vi/FT-9yLFUsVs/default.jpg,True,False
RGg6oUphTkg,17.16.11,Meteore 20171114,Maxime Stephan,22,2017-11-15T14:13:13.000Z,[none],102907,0,0,0,https://i.ytimg.com/vi/RGg6oUphTkg/default.jpg,True,False
GjwiF2NbCtI,17.16.11,17 CHOSES QUE VOUS NE SAVIEZ PAS SUR MINECRAFT,Fivest,20,2014-02-28T09:30:01.000Z,"Minecraft""|""Mojang""|""2014""|""2016""|""2017",19425,99,85,0,https://i.ytimg.com/vi/GjwiF2NbCtI/default.jpg,True,False
SPzWTA99puE,17.16.11,Amazing fireball over Germany on 14.11.2017,ERZ,28,2017-11-14T23:29:19.000Z,[none],15719,0,0,0,https://i.ytimg.com/vi/SPzWTA99puE/default.jpg,True,False
eWEbmu0va6M,17.16.11,Dog Reunites With Family After Nearly Three Years,Jukin Media,15,2017-11-15T00:19:47.000Z,"play""|""dog""|""outdoor""|""hop""|""park""|""cute""|""happy""|""outide""|""animal""|""scared""|""cry""|""pet""|""bark""|""encounter""|""heartwarming""|""leash""|""xcited""|""commentary""|""owner""|""playful""|""meet""|""adorable",4006,0,0,0,https://i.ytimg.com/vi/eWEbmu0va6M/default.jpg,True,False
pufMR3w7eZ4,17.16.11,"R-M Paint & TheArsenale / The.RM.Code 2017 / Lapo Elkann, Garage Italia Customs Part 1",TheArsenale,22,2017-07-20T10:55:55.000Z,[none],5202,114,3,0,https://i.ytimg.com/vi/pufMR3w7eZ4/default.jpg,True,False
0-tCIevF_hM,17.16.11,Tariq Ramadan : « Tu t’es déjà touchée en pensant à moi ? » ! Une victime du prédicateur témoigne.,Salim Laibi,25,2017-11-14T22:42:57.000Z,"adulère""|""agression sexuelle""|""Argent""|""bernard godard""|""charognard""|""daech""|""dieudonne""|""empire""|""franc-maçon""|""frères musulmans""|""hypocrite""|""Israël""|""libye""|""mythomane""|""Qatar""|""ramadan tariq""|""Rg""|""secte""|""sioniste""|""soral""|""soral a raison mais à quelle heure""|""soraloscopie""|""tarik""|""uoif""|""viol",29861,0,0,0,https://i.ytimg.com/vi/0-tCIevF_hM/default.jpg,True,False
RGg6oUphTkg,17.17.11,Meteore 20171114,Maxime Stephan,22,2017-11-15T14:13:13.000Z,[none],165728,0,0,0,https://i.ytimg.com/vi/RGg6oUphTkg/default.jpg,True,False
HfhpGIOaf30,17.17.11,Questions & Réponses n° 135- Est ce que je fais ce que je dis ? - www.regenere.org,Regenere / Thierry Casasnovas,27,2017-11-16T10:46:30.000Z,"jeûne""|""fasting""|""cru""|""crudivore""|""frugivore""|""végétalien""|""végétarien""|""80/10/10""|""fruits""|""énergie""|""régénérer""|""détoxiner""|""régénération""|""détoxination""|""dépression""|""diabète""|""hypertension""|""vivrecru""|""thierry casasnovas""|""guérir""|""santé""|""raw food""|""low fat raw vegan""|""vegan""|""lifestyle",8843,298,19,0,https://i.ytimg.com/vi/HfhpGIOaf30/default.jpg,True,False
0-tCIevF_hM,17.17.11,Tariq Ramadan : « Tu t’es déjà touchée en pensant à moi ? » ! Une victime du prédicateur témoigne.,Salim Laibi,25,2017-11-14T22:42:57.000Z,"adulère""|""agression sexuelle""|""Argent""|""bernard godard""|""charognard""|""daech""|""dieudonne""|""empire""|""franc-maçon""|""frères musulmans""|""hypocrite""|""Israël""|""libye""|""mythomane""|""Qatar""|""ramadan tariq""|""Rg""|""secte""|""sioniste""|""soral""|""soral a raison mais à quelle heure""|""soraloscopie""|""tarik""|""uoif""|""viol",38594,0,0,0,https://i.ytimg.com/vi/0-tCIevF_hM/default.jpg,True,False
MDEI_e0ibzs,17.17.11,After Foot du jeudi 16/11 – Partie 5/6 - L'avis tranché de Philippe Auclair sur Mauricio Pochettino,AFTER FOOT,17,2017-11-16T23:23:13.000Z,"BFMSPORTBOOST""|""afterfoot""|""football""|""debat""|""strategie""|""reactions""|""nicolas vilas""|""compte-rendus""|""sport""|""rmc""|""rmcsport""|""radio""|""opinion""|""avis tranche""|""mauricio pochettino""|""julien momont""|""inter milan""|""real madrid""|""simone rovera""|""philippe auclair""|""daniel riolo""|""jerome rothen",2530,0,0,0,https://i.ytimg.com/vi/MDEI_e0ibzs/default.jpg,True,False
_7Oe5S2-CDw,17.18.11,Refugiés de Matthieu Tribes,Collectif Nation Refuge,29,2017-11-16T19:18:31.000Z,"CNR""|""respects""|""quad""|""bbdo""|""matthieu tribes""|""R.E.S.P.E.C.T.S""|""Mathieu Kassovitz""|""Marina Foïs""|""collectif pour une nation refuge""|""aide aux réfugiés en France""|""QUAD""|""RESPECTS""|""C-N-R""|""Marina fois""|""Yann Barthes""|""QUOTIDIEN",42396,495,894,0,https://i.ytimg.com/vi/_7Oe5S2-CDw/default.jpg,True,False
RGg6oUphTkg,17.18.11,Meteore 20171114,Maxime Stephan,22,2017-11-15T14:13:13.000Z,[none],179094,0,0,0,https://i.ytimg.com/vi/RGg6oUphTkg/default.jpg,True,False
cK_x59xrSvw,17.18.11,Le Moyen Âge au cinéma – Entretien avec Claire Colombi,Kontre Kulture,25,2017-11-17T10:20:50.000Z,"cinéma""|""histoire""|""culture",4382,0,0,0,https://i.ytimg.com/vi/cK_x59xrSvw/default.jpg,True,False
p-oN7OZdPFY,17.18.11,"LREM, LR, FN : chacun cherche son chef ! #cdanslair 17.11.2017",C dans l'air,24,2017-11-17T18:26:58.000Z,"MACRON""|""lrem""|""lr""|""fn""|""marine le pen""|""wauquiez""|""Politique""|""droite""|""partis",6186,21,16,0,https://i.ytimg.com/vi/p-oN7OZdPFY/default.jpg,True,False
